ENSMUSG00000084191	Gm15167
ENSMUSG00000085425	Gm15648
ENSMUSG00000099882	Gm28388
ENSMUSG00000109858	Gm45800
ENSMUSG00000103527	Gm37261
ENSMUSG00000100524	Gm28418
ENSMUSG00000081341	Gm14891
ENSMUSG00000100378	Rpap3-ps1
ENSMUSG00000104173	Gm37703
ENSMUSG00000107243	Gm43631
ENSMUSG00000103757	Gm37286
ENSMUSG00000102499	Gm36984
ENSMUSG00000102962	Gm37944
ENSMUSG00000106883	Gm43632
ENSMUSG00000103994	Gm38028
ENSMUSG00000106126	Gm43781
ENSMUSG00000106113	Gm43779
ENSMUSG00000107767	Gm44448
ENSMUSG00000107666	Gm44293
ENSMUSG00000087554	Gm15646
ENSMUSG00000106962	Gm43633
ENSMUSG00000109909	Gm45663
ENSMUSG00000112607	RP23-116L23.4
ENSMUSG00000112752	RP23-116L23.3
ENSMUSG00000112320	RP23-116L23.2
ENSMUSG00000112870	RP23-116L23.1
ENSMUSG00000102437	Gm38048
ENSMUSG00000112883	RP23-440N1.2
ENSMUSG00000097189	Gm26594
ENSMUSG00000103761	Gm37859
ENSMUSG00000084776	Gm14951
ENSMUSG00000107373	Gm42668
ENSMUSG00000099702	Gm29013
ENSMUSG00000106707	Gm43748
ENSMUSG00000083208	Gm11522
ENSMUSG00000078132	Gm11939
ENSMUSG00000101569	Gm28254
ENSMUSG00000102599	Gm38386
ENSMUSG00000101184	Gm28861
ENSMUSG00000104249	Gm38151
ENSMUSG00000109772	Gm45419
ENSMUSG00000110002	Gm45680
ENSMUSG00000112625	RP23-358M4.7
ENSMUSG00000104155	Gm38103
ENSMUSG00000111050	RP24-212B22.2
ENSMUSG00000089780	Gm16306
ENSMUSG00000108554	Gm44824
ENSMUSG00000090103	Gm16094
ENSMUSG00000045929	Gm20715
ENSMUSG00000108649	Gm44855
ENSMUSG00000107673	Crs-ps
ENSMUSG00000081079	Gm13059
ENSMUSG00000100743	Scgb1b25-ps
ENSMUSG00000112618	RP23-136M3.13
ENSMUSG00000112886	RP23-136M3.14
ENSMUSG00000111750	RP24-212B22.3
ENSMUSG00000085048	Gm15537
ENSMUSG00000111157	RP24-212B22.4
ENSMUSG00000101203	Gm28615
ENSMUSG00000083085	Gm12765
ENSMUSG00000104101	Gm37881
ENSMUSG00000101899	Gm29175
ENSMUSG00000107185	Gm42642
ENSMUSG00000107233	Gm42959
ENSMUSG00000090179	Gm16307
ENSMUSG00000106955	Gm42960
ENSMUSG00000099582	Gm29014
ENSMUSG00000106945	Gm42961
ENSMUSG00000098977	Gm27196
ENSMUSG00000112179	RP24-397N4.1
ENSMUSG00000086856	Gm16080
ENSMUSG00000090726	Gm17421
ENSMUSG00000107017	Gm43196
ENSMUSG00000112125	RP23-440N1.4
ENSMUSG00000112312	RP24-64G24.1
ENSMUSG00000105493	Gm43551
ENSMUSG00000102503	Gm37370
ENSMUSG00000110674	Gm45892
ENSMUSG00000086497	Gm15259
ENSMUSG00000104624	Gm43478
ENSMUSG00000105068	Gm42950
ENSMUSG00000112401	RP23-232K4.1
ENSMUSG00000092516	Gm20397
ENSMUSG00000107676	Gm44178
ENSMUSG00000083514	Gm11881
ENSMUSG00000110290	Gm45336
ENSMUSG00000107222	Gm43198
ENSMUSG00000107215	Gm43197
ENSMUSG00000104673	Gm43550
ENSMUSG00000095436	Gm15254
ENSMUSG00000105702	Gm43780
ENSMUSG00000105384	Gm43396
ENSMUSG00000096963	B230364G03Rik
ENSMUSG00000105551	Gm43199
ENSMUSG00000105186	Gm43778
ENSMUSG00000083318	Gm15192
ENSMUSG00000091615	Gm17044
ENSMUSG00000112032	RP23-440N1.5
ENSMUSG00000105678	Gm43705
ENSMUSG00000090212	Gm15647
ENSMUSG00000112566	RP23-282P18.1
ENSMUSG00000112745	RP23-348F2.2
ENSMUSG00000090079	Gm15849
ENSMUSG00000103025	Gm37686
ENSMUSG00000103377	Gm37180
ENSMUSG00000105685	Gm43315
ENSMUSG00000100672	Gm28404
ENSMUSG00000102941	Gm37552
ENSMUSG00000103201	Gm37329
ENSMUSG00000104017	Gm37363
ENSMUSG00000103189	Gm37092
ENSMUSG00000103161	Gm38148
ENSMUSG00000099487	Gm21848
ENSMUSG00000106326	Gm42977
ENSMUSG00000085839	Gm15949
ENSMUSG00000097433	Gm26781
ENSMUSG00000107536	Gm43955
ENSMUSG00000107925	Gm43957
ENSMUSG00000107769	Gm43959
ENSMUSG00000112191	RP24-117K18.2
ENSMUSG00000109297	Gm45190
ENSMUSG00000112837	RP24-501G17.1
ENSMUSG00000105875	Gm43518
ENSMUSG00000083209	Gm11969
ENSMUSG00000112327	RP24-501G17.2
ENSMUSG00000111902	RP24-64G24.2
ENSMUSG00000112345	RP23-442N6.1
ENSMUSG00000103917	Gm38072
ENSMUSG00000112217	RP24-408O23.1
ENSMUSG00000107072	Gm43090
ENSMUSG00000100882	Gm20849
ENSMUSG00000110638	Gm45887
ENSMUSG00000103786	Gm37525
ENSMUSG00000111082	RP23-23P9.5
ENSMUSG00000099667	Gm21901
ENSMUSG00000106398	Gm43357
ENSMUSG00000103514	Gm37433
ENSMUSG00000102150	Gm37473
ENSMUSG00000080762	Gm11879
ENSMUSG00000111954	RP24-408O23.2
ENSMUSG00000103782	Gm37656
ENSMUSG00000111969	RP24-408O23.3
ENSMUSG00000104050	Gm38127
ENSMUSG00000111988	RP24-408O23.4
ENSMUSG00000101159	Gm28184
ENSMUSG00000081626	Gm14369
ENSMUSG00000110023	Gm45505
ENSMUSG00000104617	Gm43356
ENSMUSG00000103871	Gm38361
ENSMUSG00000107288	Gm42903
ENSMUSG00000107189	Gm42689
ENSMUSG00000098053	Gm27033
ENSMUSG00000087292	Gm13832
ENSMUSG00000108667	Gm45013
ENSMUSG00000082975	Gm14363
ENSMUSG00000101507	Gm29457
ENSMUSG00000108960	Gm44943
ENSMUSG00000102592	Gm38385
ENSMUSG00000104472	Gm38209
ENSMUSG00000082700	Gm13792
ENSMUSG00000102343	Gm37381
ENSMUSG00000103347	Gm37734
ENSMUSG00000083934	Gm12368
ENSMUSG00000110551	Gm45750
ENSMUSG00000084179	Gm11890
ENSMUSG00000100395	Gm28448
ENSMUSG00000101671	Gm28221
ENSMUSG00000086313	Gm15940
ENSMUSG00000099990	Gm29578
ENSMUSG00000109341	Gm44556
ENSMUSG00000082276	Gm13885
ENSMUSG00000096698	Gm21780
