probeId	geneId
1415826_at	ENSMUSG00000033793
1415827_a_at	ENSMUSG00000027808
1415828_a_at	ENSMUSG00000027808
1415829_at	ENSMUSG00000004880
1415830_at	ENSMUSG00000029012
1415831_at	ENSMUSG00000006998
1415832_at	ENSMUSG00000068122
1415833_x_at	ENSMUSG00000034892
1415834_at	ENSMUSG00000019960
1415835_at	ENSMUSG00000038891
1415836_at	ENSMUSG00000025007
1415837_at	ENSMUSG00000063903
1415838_at	ENSMUSG00000019877
1415839_a_at	ENSMUSG00000057113
1415839_a_at	ENSMUSG00000090602
1415840_at	ENSMUSG00000032349
1415841_at	ENSMUSG00000027012
1415842_at	ENSMUSG00000024142
1415843_at	ENSMUSG00000024142
1415844_at	ENSMUSG00000024261
1415845_at	ENSMUSG00000024261
1415846_a_at	ENSMUSG00000030851
1415847_at	ENSMUSG00000030851
1415848_at	ENSMUSG00000062201
1415848_at	ENSMUSG00000057170
1415848_at	ENSMUSG00000062737
1415849_s_at	ENSMUSG00000028832
1415850_at	ENSMUSG00000031453
1415851_a_at	ENSMUSG00000062867
1415852_at	ENSMUSG00000062867
1415853_at	ENSMUSG00000001482
1415854_at	ENSMUSG00000019966
1415855_at	ENSMUSG00000019966
1415856_at	ENSMUSG00000021728
1415857_at	ENSMUSG00000021728
1415858_at	ENSMUSG00000030738
1415859_at	ENSMUSG00000030738
1415860_at	ENSMUSG00000018362
1415861_at	ENSMUSG00000005994
1415862_at	ENSMUSG00000005994
1415863_at	ENSMUSG00000005610
1415864_at	ENSMUSG00000038871
1415865_s_at	ENSMUSG00000038871
1415866_at	ENSMUSG00000030533
1415867_at	ENSMUSG00000007739
1415869_a_at	ENSMUSG00000005566
1415870_at	ENSMUSG00000029767
1415871_at	ENSMUSG00000035493
1415872_at	ENSMUSG00000007850
1415873_a_at	ENSMUSG00000025228
1415874_at	ENSMUSG00000037211
1415876_a_at	ENSMUSG00000025362
1415876_a_at	ENSMUSG00000059775
1415877_at	ENSMUSG00000024501
1415878_at	ENSMUSG00000030978
1415879_a_at	ENSMUSG00000091018
1415879_a_at	ENSMUSG00000025508
1415879_a_at	ENSMUSG00000045690
1415880_a_at	ENSMUSG00000031447
1415881_at	ENSMUSG00000041028
1415882_at	ENSMUSG00000041028
1415883_a_at	ENSMUSG00000023433
1415884_at	ENSMUSG00000023433
1415884_at	ENSMUSG00000078520
1415885_at	ENSMUSG00000027350
1415886_at	ENSMUSG00000059013
1415887_at	ENSMUSG00000022757
1415888_at	ENSMUSG00000004897
1415889_a_at	ENSMUSG00000020048
1415890_at	ENSMUSG00000028032
1415891_at	ENSMUSG00000052738
1415892_at	ENSMUSG00000020097
1415893_at	ENSMUSG00000020097
1415894_at	ENSMUSG00000022425
1415895_at	ENSMUSG00000000948
1415896_x_at	ENSMUSG00000000948
1415897_a_at	ENSMUSG00000008540
1415898_at	ENSMUSG00000008540
1415899_at	ENSMUSG00000052837
1415900_a_at	ENSMUSG00000005672
1415901_at	ENSMUSG00000004846
1415902_at	ENSMUSG00000053644
1415903_at	ENSMUSG00000023169
1415904_at	ENSMUSG00000015568
1415905_at	ENSMUSG00000059654
1415906_at	ENSMUSG00000049775
1415907_at	ENSMUSG00000034165
1415908_at	ENSMUSG00000047514
1415909_at	ENSMUSG00000024966
1415910_s_at	ENSMUSG00000031781
1415911_at	ENSMUSG00000024423
1415912_a_at	ENSMUSG00000069972
1415912_a_at	ENSMUSG00000090862
1415912_a_at	ENSMUSG00000066362
1415913_at	ENSMUSG00000090862
1415914_at	ENSMUSG00000020358
1415915_at	ENSMUSG00000037149
1415916_a_at	ENSMUSG00000021048
1415917_at	ENSMUSG00000021048
1415918_a_at	ENSMUSG00000023456
1415919_at	ENSMUSG00000015094
1415920_at	ENSMUSG00000053536
1415921_a_at	ENSMUSG00000060548
1415922_s_at	ENSMUSG00000047945
1415923_at	ENSMUSG00000033585
1415924_at	ENSMUSG00000026182
1415925_a_at	ENSMUSG00000043858
1415926_at	ENSMUSG00000043858
1415927_at	ENSMUSG00000068614
1415928_a_at	ENSMUSG00000031812
1415929_at	ENSMUSG00000031812
1415930_a_at	ENSMUSG00000031812
1415930_a_at	ENSMUSG00000062081
1415931_at	ENSMUSG00000048583
1415932_x_at	ENSMUSG00000027546
1415933_a_at	ENSMUSG00000000088
1415934_at	ENSMUSG00000034432
