probeId	geneId
ILMN_1213099	ENSMUSG00000044519
ILMN_1213101	ENSMUSG00000056394
ILMN_1213103	ENSMUSG00000031303
ILMN_1213106	ENSMUSG00000021557
ILMN_1213110	ENSMUSG00000044801
ILMN_1213113	ENSMUSG00000026971
ILMN_1213117	ENSMUSG00000019487
ILMN_1213121	ENSMUSG00000056267
ILMN_1213122	ENSMUSG00000083019
ILMN_1213122	ENSMUSG00000070493
ILMN_1213123	ENSMUSG00000025964
ILMN_1213124	ENSMUSG00000018040
ILMN_1213128	ENSMUSG00000071459
ILMN_1213128	ENSMUSG00000091178
ILMN_1213134	ENSMUSG00000039543
ILMN_1213136	ENSMUSG00000031154
ILMN_1213136	ENSMUSG00000031155
ILMN_1213138	ENSMUSG00000023262
ILMN_1213139	ENSMUSG00000032744
ILMN_1213141	ENSMUSG00000028182
ILMN_1213144	ENSMUSG00000030216
ILMN_1213145	ENSMUSG00000036972
ILMN_1213148	ENSMUSG00000026791
ILMN_1213149	ENSMUSG00000093631
ILMN_1213149	ENSMUSG00000036698
ILMN_1213156	ENSMUSG00000004707
ILMN_1213160	ENSMUSG00000019906
ILMN_1213161	ENSMUSG00000029413
ILMN_1213167	ENSMUSG00000088948
ILMN_1213167	ENSMUSG00000005610
ILMN_1213174	ENSMUSG00000073388
ILMN_1213186	ENSMUSG00000003778
ILMN_1213191	ENSMUSG00000034906
ILMN_1213200	ENSMUSG00000013833
ILMN_1213212	ENSMUSG00000090806
ILMN_1213214	ENSMUSG00000019756
ILMN_1213216	ENSMUSG00000005958
ILMN_1213222	ENSMUSG00000045340
ILMN_1213227	ENSMUSG00000067615
ILMN_1213231	ENSMUSG00000019659
ILMN_1213239	ENSMUSG00000042256
ILMN_1213244	ENSMUSG00000068290
ILMN_1213249	ENSMUSG00000015882
ILMN_1213257	ENSMUSG00000069266
ILMN_1213259	ENSMUSG00000030406
ILMN_1213261	ENSMUSG00000070604
ILMN_1213265	ENSMUSG00000042901
ILMN_1213268	ENSMUSG00000003283
ILMN_1213272	ENSMUSG00000033434
ILMN_1213273	ENSMUSG00000020105
ILMN_1213274	ENSMUSG00000041774
ILMN_1213275	ENSMUSG00000027130
ILMN_1213278	ENSMUSG00000035275
ILMN_1213286	ENSMUSG00000078739
ILMN_1213286	ENSMUSG00000071003
ILMN_1213287	ENSMUSG00000037761
ILMN_1213289	ENSMUSG00000027603
ILMN_1213290	ENSMUSG00000008855
ILMN_1213296	ENSMUSG00000011832
ILMN_1213297	ENSMUSG00000046844
ILMN_1213304	ENSMUSG00000026253
ILMN_1213305	ENSMUSG00000027799
ILMN_1213306	ENSMUSG00000035284
ILMN_1213307	ENSMUSG00000026176
ILMN_1213309	ENSMUSG00000045045
ILMN_1213311	ENSMUSG00000024366
ILMN_1213312	ENSMUSG00000079267
ILMN_1213316	ENSMUSG00000029670
